"STT","Pin (dBm)","Pout tại 9.2Ghz (dBm)","Pout tại 9.3Ghz (dBm)","Pout tại 9.4Ghz (dBm)","Pout tại 9.5Ghz (dBm)","Pout tại 9.6Ghz (dBm)","Chỉ tiêu","Đánh giá"
"1","-10","","","","","","",""
"2","-9","","","","","","",""
"3","-8","","","","","","",""
"4","-7","","","","","","",""
"5","-6","","","","","","",""
"6","-5","","","","","","",""
"7","-4","","","","","","",""
"8","-3","","","","","","",""
"9","-2","","","","","","",""
"10","-1","","","","","","",""
"11","0","","","","","","",""
"12","1","","","","","","",""
"13","2","","","","","","",""
"14","3","","","","","","",""
"15","4","","","","","","",""
"16","5","","","","","","",""
